"study","age","phase","id","aged","trial","type","corr","sex","unique_group"
"1","A22","point","e49940",724,1,"neg",0,0,"pointA22neg"
"1","A22","point","e49940",724,2,"neg",1,0,"pointA22neg"
"1","A22","point","e49940",724,3,"neg",1,0,"pointA22neg"
"1","A22","point","e49940",724,4,"neg",1,0,"pointA22neg"
"1","A22","point","e49940",724,5,"neg",1,0,"pointA22neg"
"1","A22","point","e49940",724,6,"neg",1,0,"pointA22neg"
"1","A22","point","e49940",724,7,"neg",1,0,"pointA22neg"
"1","A22","point","e49940",724,8,"neg",1,0,"pointA22neg"
"1","A22","point","e51640",706,1,"apos",1,1,"pointA22apos"
"1","A22","point","e51640",706,2,"apos",0,1,"pointA22apos"
"1","A22","point","e51640",706,3,"apos",0,1,"pointA22apos"
"1","A22","point","e51640",706,4,"apos",0,1,"pointA22apos"
"1","A22","point","e51640",706,5,"apos",0,1,"pointA22apos"
"1","A22","point","e51640",706,6,"apos",0,1,"pointA22apos"
"1","A22","point","e51640",706,7,"apos",1,1,"pointA22apos"
"1","A22","point","e51640",706,8,"apos",0,1,"pointA22apos"
"1","A22","point","e51536",697,1,"neg",0,1,"pointA22neg"
"1","A22","point","e51536",697,2,"neg",0,1,"pointA22neg"
"1","A22","point","e51536",697,3,"neg",0,1,"pointA22neg"
"1","A22","point","e51536",697,4,"neg",0,1,"pointA22neg"
"1","A22","point","e51536",697,6,"neg",0,1,"pointA22neg"
"1","A22","point","e51536",697,7,"neg",1,1,"pointA22neg"
"1","A22","point","e51536",697,8,"neg",0,1,"pointA22neg"
"1","A22","point","e51115",695,1,"neg",1,1,"pointA22neg"
"1","A22","point","e51115",695,2,"neg",0,1,"pointA22neg"
"1","A22","point","e51115",695,3,"neg",1,1,"pointA22neg"
"1","A22","point","e51115",695,4,"neg",0,1,"pointA22neg"
"1","A22","point","e51115",695,5,"neg",1,1,"pointA22neg"
"1","A22","point","e51115",695,6,"neg",0,1,"pointA22neg"
"1","A22","point","e51115",695,7,"neg",0,1,"pointA22neg"
"1","A22","point","e51115",695,8,"neg",0,1,"pointA22neg"
"1","A22","point","e50610",694,1,"apos",1,1,"pointA22apos"
"1","A22","point","e50610",694,2,"apos",0,1,"pointA22apos"
"1","A22","point","e50610",694,3,"apos",0,1,"pointA22apos"
"1","A22","point","e50610",694,4,"apos",1,1,"pointA22apos"
"1","A22","point","e50610",694,5,"apos",1,1,"pointA22apos"
"1","A22","point","e50610",694,6,"apos",1,1,"pointA22apos"
"1","A22","point","e50610",694,7,"apos",1,1,"pointA22apos"
"1","A22","point","e50610",694,8,"apos",1,1,"pointA22apos"
"1","A22","point","e5e363",697,1,"neg",1,0,"pointA22neg"
"1","A22","point","e5e363",697,2,"neg",0,0,"pointA22neg"
"1","A22","point","e5e363",697,3,"neg",1,0,"pointA22neg"
"1","A22","point","e5e363",697,4,"neg",1,0,"pointA22neg"
"1","A22","point","e5e363",697,5,"neg",1,0,"pointA22neg"
